150433,ITAPEMA,SC
021394,LINHARES,ES
099291,GRAVATAI,RS
032896,BELO HORIZONTE,MG
126219,SOROCABA,SP
120618,MOGI GUAÇU,SP
011601,SALVADOR,BA
072173,CABEDELO,PB
111856,TABOAO DA SERRA,SP
050021,BELO HORIZONTE,MG
120592,CARAGUATATUBA,SP
123687,VALINHOS,SP
123430,SAO PAULO,SP
111153,SAO PAULO,SP
099937,PORTO ALEGRE,RS
126292,SAO JOSE DO RIO PRETO,SP
147660,LUZIANIA,GO
059329,LAVRAS,MG
113522,CAMPINAS,SP
122291,MARILIA,SP
099259,CAXIAS DO SUL,RS
123604,BARRETOS,SP
063651,SINOP,MT
123828,FRANCA,SP
111591,SAO PAULO,SP
059451,NOVA LIMA,MG
032391,BELO HORIZONTE,MG
039248,NOVA SERRANA,MG
113514,SOROCABA,SP
063792,CUIABA,MT
154344,CAMPO GRANDE,MS
115428,SAO PAULO,SP
158055,CAMPO GRANDE,MS
126334,BAURU,SP
112581,SAO JOSE DOS CAMPOS,SP
090431,ARARUAMA,RJ
089284,RIO DE JANEIRO,RJ
111781,GUARUJA,SP
039065,CARATINGA,MG
113100,GUARULHOS,SP
107862,BRUSQUE,SC
032839,BELO HORIZONTE,MG
033597,SETE LAGOAS,MG
112649,SAO PAULO,SP
064253,BARRA DO GARCAS,MT
113365,SAO CAETANO DO SUL,SP
120386,SERTAOZINHO,SP
104232,BALNEARIO CAMBORIU,SC
111039,SAO JOSE DOS CAMPOS,SP
113456,SAO PAULO,SP
113696,CAMPINAS,SP
002014,ARAPIRACA,AL
019174,FORTALEZA,CE
091512,MACAE,RJ
107920,JARAGUA DO SUL,SC
054932,DIVINOPOLIS,MG
120600,MAUA,SP
113654,SAO PAULO,SP
098764,PORTO ALEGRE,RS
120519,ITAPETININGA,SP
120550,ARARAS,SP
113480,SAO PAULO,SP
127035,PALMAS,TO
097071,BENTO GONCALVES,RS
154310,CAMPO GRANDE,MS
044990,GOVERNADOR VALADARES,MG
032631,GOVERNADOR VALADARES,MG
123901,SANTO ANDRE,SP
093559,VOLTA REDONDA,RJ
111542,BOTUCATU,SP
147389,CIDADE OCIDENTAL,GO
112177,GUARULHOS,SP
125815,ITAQUAQUECETUBA,SP
148437,VINHEDO,SP
088682,RIO DE JANEIRO,RJ
111559,RIO CLARO,SP
098228,TRAMANDAI,RS
073452,OLINDA,PE
092163,RIO DE JANEIRO,RJ
021006,SOBRADINHO,DF
021246,BRASÍLIA,DF
113415,SAO CAETANO DO SUL,SP
024661,VITORIA,ES
004150,MANAUS,AM
088781,ANGRA DOS REIS,RJ
112839,AMERICANA,SP
096990,PORTO ALEGRE,RS
059469,PARACATU,MG
122424,AMERICANA,SP
113589,SAO PAULO,SP
123836,MARILIA,SP
063396,TANGARA DA SERRA,MT
112664,SAO CAETANO DO SUL,SP
021220,NÚCLEO BANDEIRANTE,DF
031468,SAO JOSE DE RIBAMAR,MA
113753,SAO PAULO,SP
077552,PAULISTA,PE
113712,SAO PAULO,SP
046128,MONTE CARMELO,MG
093609,RIO DE JANEIRO,RJ
083766,LONDRINA,PR
113332,PIRACICABA,SP
114728,BIRIGUI,SP
093245,RIO DE JANEIRO,RJ
120568,AVARE,SP
093658,RIO DE JANEIRO,RJ
097683,NOVO HAMBURGO,RS
113761,SAO PAULO,SP
120162,PINDAMONHANGABA,SP
064485,RONDONOPOLIS,MT
025817,RIO VERDE,GO
020651,CAUCAIA,CE
113621,CAMPINAS,SP
113316,GUARULHOS,SP
089714,NITEROI,RJ
096750,NOVO HAMBURGO,RS
113647,RIBEIRAO PRETO,SP
099440,TORRES,RS
038562,ALFENAS,MG
126326,SAO JOSE DOS CAMPOS,SP
113340,SAO PAULO,SP
024752,MINEIROS,GO
104273,JOINVILLE,SC
024810,GOIANIA,GO
121178,FRANCO DA ROCHA,SP
088542,RIO DE JANEIRO,RJ
032920,BELO HORIZONTE,MG
028241,GOIANIA,GO
021261,BRASÍLIA,DF
043448,PATOS DE MINAS,MG
097717,SANTA CRUZ DO SUL,RS
096610,PORTO ALEGRE,RS
111146,SAO PAULO,SP
063404,NOVA MUTUM,MT
089052,NITEROI,RJ
111575,JAU,SP
112698,PIRACICABA,SP
015735,FORTALEZA,CE
158063,CAMPO GRANDE,MS
043406,ARAGUARI,MG
117861,BARUERI,SP
093344,RIO DE JANEIRO,RJ
122374,SOROCABA,SP
097261,LAJEADO,RS
026195,CRISTALINA,GO
065789,CASTANHAL,PA
111765,LIMEIRA,SP
020990,BRASÍLIA,DF
136978,ITAITINGA,CE
059444,ITAUNA,MG
100131,CACHOEIRINHA,RS
028126,GOIANIA,GO
021204,CEILANDIA,DF
113290,SOROCABA,SP
104646,JOINVILLE,SC
059352,ITURAMA,MG
093666,RIO DE JANEIRO,RJ
104414,CRICIUMA,SC
123679,FERNANDOPOLIS,SP
122531,BAURU,SP
120766,ASSIS,SP
163279,BELO HORIZONTE,MG
024497,SAO MATEUS,ES
020388,FORTALEZA,CE
024547,SERRA,ES
096701,CAXIAS DO SUL,RS
049296,JUIZ DE FORA,MG
119891,MIRASSOL,SP
064501,PRIMAVERA DO LESTE,MT
020362,FORTALEZA,CE
113308,SANTOS,SP
107441,ITAJAI,SC
061523,VICOSA,MG
120634,OURINHOS,SP
045005,PIUMHI,MG
089631,TERESOPOLIS,RJ
093641,RIO DE JANEIRO,RJ
125989,OSASCO,SP
112532,RIO CLARO,SP
117887,CAMPINAS,SP
111831,SUMARE,SP
021287,TAGUATINGA,DF
024984,PLANALTINA,GO
112128,ATIBAIA,SP
005454,SALVADOR,BA
119958,SAO SEBASTIAO,SP
097766,SAO LEOPOLDO,RS
104364,ARARANGUA,SC
123620,SUZANO,SP
125955,SAO JOSE DOS CAMPOS,SP
089417,NITEROI,RJ
126201,SANTO ANDRE,SP
008409,FEIRA DE SANTANA,BA
063453,ALTA FLORESTA,MT
073718,CARUARU,PE
099283,ERECHIM,RS
062000,CAMPO GRANDE,MS
063768,CUIABA,MT
112334,SAO PAULO,SP
120048,TUPÃ,SP
118026,SAO PAULO,SP
093674,RIO DE JANEIRO,RJ
033282,CAMPO BELO,MG
112243,JUNDIAI,SP
123885,SAO JOSE DO RIO PRETO,SP
104307,BALNEARIO CAMBORIU,SC
141887,VOTORANTIM,SP
113704,SAO PAULO,SP
097006,ALVORADA,RS
113092,CAMPINAS,SP
098897,VIAMAO,RS
008417,SALVADOR,BA
112151,CAMPINAS,SP
040386,BELO HORIZONTE,MG
031773,SAO LUIS,MA
126417,VOTUPORANGA,SP
104463,BLUMENAU,SC
007740,VITORIA DA CONQUISTA,BA
120949,PORTO FELIZ,SP
